SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0616    0116,2,1,B,Reinf Concr,45,Good +,MS,Metal Siding,,,1900/01/01 00:00:00+00,0,U,2013,,2015,1,12084,83,42395,2023/10/10 05:16:33+00,21263484
0616    0836,1,1,C,Brick/Concr,40,Good,SU,Stucco,14,3,2009/05/29 00:00:00+00,305000,U,1900,2008,2010,1,2340,49,1500,2023/10/10 05:16:33+00,21263485
0616    0837,1,1,C,Brick/Concr,30,Average,BR,Brick,10,2,2021/08/09 00:00:00+00,0,U,1900,,1919,2,2490,49,1800,2023/10/10 05:16:33+00,21263486
0616    0839,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2013/03/22 00:00:00+00,0,U,1900,,1959,1,3003,42,2109,2023/10/10 05:16:33+00,21263487
0616    0863,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2013/03/22 00:00:00+00,0,U,1900,,1964,1,3786,42,2060,2023/10/10 05:16:33+00,21263488
0616    0868,1,1,C,Brick/Concr,30,Average,BR,Brick,20,,1900/01/01 00:00:00+00,,U,1900,,1964,1,1636,81,800,2023/10/10 05:16:33+00,21263489
0616    0871,1,1,C,Brick/Concr,40,Good,BR,Brick,10,2,1900/01/01 00:00:00+00,,U,1900,,1934,1,4769,49,2100,2023/10/10 05:16:33+00,21263490
0617    0017,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1917,,1972,1,9787,51,11655,2023/10/10 05:16:33+00,21263491
0617    0103,1,1,C,Brick/Concr,40,Good,BR,Brick,10,8,2023/09/12 00:00:00+00,3400000,Q,1900,2008,2010,5,6863,49,2200,2023/10/10 05:16:33+00,21263492
0617    0163,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2014/05/12 00:00:00+00,69676,U,1900,2017,1972,3,2792,42,2132,2023/10/10 05:16:33+00,21263493
0617    0164,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2012/12/21 00:00:00+00,0,U,1900,,1962,1,3893,42,1004,2023/10/10 05:16:33+00,21263494
0617    0200,1,1,C,Brick/Concr,40,Good,BR,Brick,12,2,2021/05/27 00:00:00+00,1185000,Q,1906,,1980,3,1769,49,864,2023/10/10 05:16:33+00,21263495
0617    0207,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,2000,1903,1,1280,81,1050,2023/10/10 05:16:33+00,21263496
0617    0209,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,,1934,1,1280,81,1050,2023/10/10 05:16:33+00,21263497
0617    0210,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900/01/01 00:00:00+00,,U,1906,,1934,1,1280,81,1050,2023/10/10 05:16:33+00,21263498
0617    0212,1,1,C,Brick/Concr,30,Average,BR,Brick,10,,1999/07/28 00:00:00+00,210000,Q,1917,,1952,1,5903,62,7642,2023/10/10 05:16:33+00,21263499
0617    0216,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,2019/07/05 00:00:00+00,1350000,U,1920,,1968,5,5502,42,1980,2023/10/10 05:16:33+00,21263500
0617    0240,1,1,C,Brick/Concr,40,Good,BR,Brick,10,4,2005/09/26 00:00:00+00,203660,Q,1900,,1934,1,4260,42,1870,2023/10/10 05:16:33+00,21263501
0617    0241,1,1,C,Brick/Concr,45,Good +,BR,Brick,9,6,2018/01/23 00:00:00+00,0,U,1900,2008,1973,2,8784,49,3600,2023/10/10 05:16:33+00,21263502
